date,rep_id,source,leads,opportunities,closed_won,revenue
1/2/2018,1,bing/cpc,43,12,7,380.38
1/2/2018,1,bing/organic,16,6,2,100.8
1/2/2018,1,facebook/display,271,29,12,773.64
1/2/2018,2,google/cpc,8,2,2,206.81
1/2/2018,2,google/organic,14,3,1,65.39
1/2/2018,2,bing/cpc,41,11,6,543.13
1/2/2018,2,bing/organic,25,5,2,174.27
1/2/2018,2,facebook/display,209,11,5,357.94
1/2/2018,3,google/cpc,7,1,0,0
1/2/2018,3,google/organic,16,8,4,339.63
1/2/2018,3,bing/cpc,47,11,7,406.44
1/2/2018,3,bing/organic,19,10,4,261.72
1/2/2018,3,facebook/display,192,13,2,178.92
1/2/2018,4,google/cpc,10,2,0,0
1/2/2018,4,google/organic,15,10,6,496.93
1/2/2018,4,bing/cpc,56,10,5,194.62
1/2/2018,4,bing/organic,24,11,2,88.56
1/2/2018,4,facebook/display,216,25,10,600.2
1/2/2018,5,google/cpc,13,7,5,299.13
1/2/2018,5,google/organic,16,7,7,446.43
1/2/2018,5,bing/cpc,48,11,7,271.62
1/2/2018,5,bing/organic,24,9,2,128.51
1/2/2018,5,facebook/display,154,21,9,455.84
1/2/2018,6,google/cpc,13,5,3,243.92
1/2/2018,6,google/organic,12,11,7,725.79
1/2/2018,6,bing/cpc,32,4,2,124.92
1/2/2018,6,bing/organic,19,4,2,159.43
1/2/2018,6,facebook/display,218,18,5,351.18
1/2/2018,7,google/cpc,10,5,3,380.52
1/2/2018,7,google/organic,15,5,2,125.82
1/2/2018,7,bing/cpc,34,6,3,253.28
1/2/2018,7,bing/organic,24,8,2,112.14
1/2/2018,7,facebook/display,202,17,3,206.54
1/2/2018,8,google/cpc,3,0,0,0
1/2/2018,8,google/organic,16,10,5,479.09
1/2/2018,8,bing/cpc,66,17,9,535.75
1/2/2018,8,bing/organic,26,9,4,323.14
1/2/2018,8,facebook/display,200,11,3,214.56
1/3/2018,1,google/cpc,12,5,3,169.97
1/3/2018,1,google/organic,9,4,4,216.35
1/3/2018,1,bing/cpc,42,8,5,243.98
1/3/2018,1,bing/organic,22,11,6,274.26
1/3/2018,1,facebook/display,134,24,10,555.02
1/3/2018,2,google/cpc,8,3,2,196.84
1/3/2018,2,google/organic,14,8,4,432.34
1/3/2018,2,bing/cpc,56,10,2,161.17
1/3/2018,2,bing/organic,25,8,2,128.71
1/3/2018,2,facebook/display,195,15,4,371.79
1/3/2018,3,google/cpc,9,5,3,277.48
1/3/2018,3,google/organic,19,11,7,862.59
1/3/2018,3,bing/cpc,57,13,6,323.68
1/3/2018,3,bing/organic,30,7,1,50.31
1/3/2018,3,facebook/display,203,23,3,186.64
1/3/2018,4,google/cpc,8,4,3,254.56
1/3/2018,4,google/organic,22,9,4,357.44
1/3/2018,4,bing/cpc,58,15,8,350.42
1/3/2018,4,bing/organic,19,2,0,0
1/3/2018,4,facebook/display,199,26,10,569.96
1/3/2018,5,google/cpc,12,2,1,58.22
1/3/2018,5,google/organic,12,5,4,232.28
1/3/2018,5,bing/cpc,44,9,5,166.3
1/3/2018,5,bing/organic,20,3,2,74.73
1/3/2018,5,facebook/display,156,21,6,323.28
1/3/2018,6,google/cpc,11,2,1,109.53
1/3/2018,6,google/organic,14,8,3,299.08
1/3/2018,6,bing/cpc,42,3,3,211.24
1/3/2018,6,bing/organic,22,6,0,0
1/3/2018,6,facebook/display,126,10,1,97.88
1/3/2018,7,google/cpc,9,2,0,0
1/3/2018,7,google/organic,12,6,2,158.21
1/3/2018,7,bing/cpc,60,10,6,340.85
1/3/2018,7,bing/organic,20,6,0,0
1/3/2018,7,facebook/display,224,16,3,145.8
1/3/2018,8,google/cpc,10,2,0,0
1/3/2018,8,google/organic,13,4,3,374.74
1/3/2018,8,bing/cpc,48,4,2,128.3
1/3/2018,8,bing/organic,16,5,1,69.01
1/3/2018,8,facebook/display,238,27,6,354.07
1/4/2018,1,google/cpc,7,3,1,60.03
1/4/2018,1,google/organic,18,10,5,300.17
1/4/2018,1,bing/cpc,37,5,3,149.03
1/4/2018,1,bing/organic,31,14,6,306.8
1/4/2018,1,facebook/display,250,29,11,574.36
1/4/2018,2,google/cpc,7,0,0,0
1/4/2018,2,google/organic,16,10,5,487.95
1/4/2018,2,bing/cpc,42,4,2,138.98
1/4/2018,2,bing/organic,31,8,2,86.4
1/4/2018,2,facebook/display,205,17,1,71.73
1/4/2018,3,google/cpc,6,2,2,160.01
1/4/2018,3,google/organic,15,8,4,363.75
1/4/2018,3,bing/cpc,38,10,3,201.07
1/4/2018,3,bing/organic,20,1,0,0
1/4/2018,3,facebook/display,211,14,3,239.26
1/4/2018,4,google/cpc,10,7,6,273.06
1/4/2018,4,google/organic,22,11,7,664.62
1/4/2018,4,bing/cpc,45,7,7,409.87
1/4/2018,4,bing/organic,17,6,1,45.33
1/4/2018,4,facebook/display,222,25,7,425.47
1/4/2018,5,google/cpc,9,3,3,173.64
1/4/2018,5,google/organic,12,6,4,339.16
1/4/2018,5,bing/cpc,67,19,15,602.5
1/4/2018,5,bing/organic,23,5,3,156.14
1/4/2018,5,facebook/display,224,28,10,662.25
1/4/2018,6,google/cpc,11,8,3,301.9
1/4/2018,6,google/organic,19,9,4,316.44
1/4/2018,6,bing/cpc,42,8,5,286.21
1/4/2018,6,bing/organic,27,3,1,60.4
1/4/2018,6,facebook/display,146,6,0,0
1/4/2018,7,google/cpc,10,3,3,293.52
1/4/2018,7,google/organic,18,5,2,277.52
1/4/2018,7,bing/cpc,35,11,5,291.85
1/4/2018,7,bing/organic,28,6,2,131.72
1/4/2018,7,facebook/display,214,15,5,282.91
1/4/2018,8,google/cpc,10,4,3,278.63
1/4/2018,8,google/organic,12,6,1,138.49
1/4/2018,8,bing/cpc,56,9,8,580.15
1/4/2018,8,bing/organic,30,9,2,177.05
1/4/2018,8,facebook/display,160,15,5,265.44
1/5/2018,1,google/cpc,11,3,3,170.62
1/5/2018,1,google/organic,11,5,2,160.57
1/5/2018,1,bing/cpc,44,11,8,373.01
1/5/2018,1,bing/organic,20,6,3,162.88
1/5/2018,1,facebook/display,213,26,9,529.32
1/5/2018,2,google/cpc,9,4,1,112.13
1/5/2018,2,google/organic,14,7,4,433.89
1/5/2018,2,bing/cpc,48,7,3,178.16
1/5/2018,2,bing/organic,31,6,1,63.52
1/5/2018,2,facebook/display,232,14,6,537.61
1/5/2018,3,google/cpc,12,4,2,228.07
1/5/2018,3,google/organic,15,5,1,96.94
1/5/2018,3,bing/cpc,45,9,7,413.96
1/5/2018,3,bing/organic,23,8,1,98.25
1/5/2018,3,facebook/display,221,19,6,509.79
1/5/2018,4,google/cpc,9,2,1,72.31
1/5/2018,4,google/organic,17,11,10,662.56
1/5/2018,4,bing/cpc,60,16,10,472.71
1/5/2018,4,bing/organic,19,8,2,97.66
1/5/2018,4,facebook/display,234,36,17,578.19
1/5/2018,5,google/cpc,9,2,2,120.81
1/5/2018,5,google/organic,15,8,5,338.71
1/5/2018,5,bing/cpc,46,11,8,233.53
1/5/2018,5,bing/organic,26,9,2,90.1
1/5/2018,5,facebook/display,176,17,9,505.59
1/5/2018,6,google/cpc,7,3,2,209.89
1/5/2018,6,google/organic,16,7,4,366.49
1/5/2018,6,bing/cpc,47,13,7,475.4
1/5/2018,6,bing/organic,29,9,2,106.46
1/5/2018,6,facebook/display,136,7,3,143.49
1/5/2018,7,google/cpc,12,3,2,245.81
1/5/2018,7,google/organic,13,6,5,583.15
1/5/2018,7,bing/cpc,52,12,6,345.33
1/5/2018,7,bing/organic,31,6,2,139.29
1/5/2018,7,facebook/display,232,24,7,809.99
1/5/2018,8,google/cpc,11,2,2,200.96
1/5/2018,8,google/organic,15,3,2,268.8
1/5/2018,8,bing/cpc,47,10,1,72.44
1/5/2018,8,bing/organic,14,7,2,96.14
1/5/2018,8,facebook/display,156,10,2,140.33
1/6/2018,1,google/cpc,2,1,1,64.64
1/6/2018,1,google/organic,2,2,1,67.46
1/6/2018,1,bing/cpc,12,2,1,46.3
1/6/2018,1,bing/organic,5,2,1,32.31
1/6/2018,1,facebook/display,49,2,0,0
1/6/2018,2,google/cpc,2,1,1,88.14
1/6/2018,2,google/organic,3,1,0,0
1/6/2018,2,bing/cpc,14,2,0,0
1/6/2018,2,bing/organic,6,2,1,62.58
1/6/2018,2,facebook/display,55,6,2,140.95
1/6/2018,3,google/cpc,2,0,0,0
1/6/2018,3,google/organic,2,1,1,121.99
1/6/2018,3,bing/cpc,16,1,0,0
1/6/2018,3,bing/organic,4,2,0,0
1/6/2018,3,facebook/display,52,5,2,200.26
1/6/2018,4,google/cpc,2,1,1,94.71
1/6/2018,4,google/organic,3,3,2,88.43
1/6/2018,4,bing/cpc,14,3,2,109.79
1/6/2018,4,bing/organic,7,1,0,0
1/6/2018,4,facebook/display,39,7,3,177.27
1/6/2018,5,google/cpc,1,1,1,51.99
1/6/2018,5,google/organic,1,1,1,87.75
1/6/2018,5,bing/cpc,10,1,0,0
1/6/2018,5,bing/organic,5,1,0,0
1/6/2018,5,facebook/display,33,4,2,145.79
1/6/2018,6,google/cpc,1,1,0,0
1/6/2018,6,google/organic,2,0,0,0
1/6/2018,6,bing/cpc,10,5,2,149.39
1/6/2018,6,bing/organic,6,1,0,0
1/6/2018,6,facebook/display,52,1,0,0
1/6/2018,7,google/cpc,2,0,0,0
1/6/2018,7,google/organic,2,0,0,0
1/6/2018,7,bing/cpc,10,1,1,65.43
1/6/2018,7,bing/organic,5,1,1,68.79
1/6/2018,7,facebook/display,28,3,1,67.93
1/6/2018,8,google/cpc,1,0,0,0
1/6/2018,8,google/organic,3,2,2,147.72
1/6/2018,8,bing/cpc,13,1,1,70.58
1/6/2018,8,bing/organic,7,1,0,0
1/6/2018,8,facebook/display,46,5,1,96.19
1/7/2018,1,google/cpc,1,0,0,0
1/7/2018,1,google/organic,3,2,1,69.2
1/7/2018,1,bing/cpc,17,3,1,47.93
1/7/2018,1,bing/organic,5,2,1,45.5
1/7/2018,1,facebook/display,34,4,2,84.23
1/7/2018,2,google/cpc,1,0,0,0
1/7/2018,2,google/organic,3,2,1,98.09
1/7/2018,2,bing/cpc,10,2,0,0
1/7/2018,2,bing/organic,5,2,0,0
1/7/2018,2,facebook/display,47,3,2,191.15
1/7/2018,3,google/cpc,2,0,0,0
1/7/2018,3,google/organic,3,2,0,0
1/7/2018,3,bing/cpc,8,3,1,66.1
1/7/2018,3,bing/organic,6,3,1,76.23
1/7/2018,3,facebook/display,69,6,3,280.09
1/7/2018,4,google/cpc,2,1,0,0
1/7/2018,4,google/organic,3,2,1,28.72
1/7/2018,4,bing/cpc,11,1,1,34.69
1/7/2018,4,bing/organic,4,2,1,53.55
1/7/2018,4,facebook/display,61,9,5,272.6
1/7/2018,5,google/cpc,1,0,0,0
1/7/2018,5,google/organic,3,2,2,143.4
1/7/2018,5,bing/cpc,8,1,1,37.99
1/7/2018,5,bing/organic,7,3,0,0
1/7/2018,5,facebook/display,41,0,0,0
1/7/2018,6,google/cpc,2,1,1,84.24
1/7/2018,6,google/organic,2,1,1,131.82
1/7/2018,6,bing/cpc,12,2,1,52.64
1/7/2018,6,bing/organic,6,3,1,42.14
1/7/2018,6,facebook/display,49,1,0,0
1/7/2018,7,google/cpc,2,1,1,84.67
1/7/2018,7,google/organic,2,0,0,0
1/7/2018,7,bing/cpc,13,1,0,0
1/7/2018,7,bing/organic,4,1,0,0
1/7/2018,7,facebook/display,65,8,1,77.3
1/7/2018,8,google/cpc,1,0,0,0
1/7/2018,8,google/organic,3,1,1,96.98
1/7/2018,8,bing/cpc,12,2,2,141.33
1/7/2018,8,bing/organic,6,1,0,0
1/7/2018,8,facebook/display,38,5,2,160.48
1/8/2018,1,google/cpc,8,4,3,149.81
1/8/2018,1,google/organic,10,4,4,241.85
1/8/2018,1,bing/cpc,41,6,5,226.28
1/8/2018,1,bing/organic,16,8,4,217.61
1/8/2018,1,facebook/display,184,18,6,249.46
1/8/2018,2,google/cpc,12,1,1,110.79
1/8/2018,2,google/organic,17,3,1,123.43
1/8/2018,2,bing/cpc,53,6,4,166.37
1/8/2018,2,bing/organic,21,6,3,213.5
1/8/2018,2,facebook/display,228,21,10,863.62
1/8/2018,3,google/cpc,9,3,1,87.56
1/8/2018,3,google/organic,11,3,0,0
1/8/2018,3,bing/cpc,54,12,3,253.14
1/8/2018,3,bing/organic,28,11,2,117.4
1/8/2018,3,facebook/display,191,11,1,93.55
1/8/2018,4,google/cpc,8,1,0,0
1/8/2018,4,google/organic,8,5,1,88.13
1/8/2018,4,bing/cpc,33,10,6,260.4
1/8/2018,4,bing/organic,19,8,2,110.56
1/8/2018,4,facebook/display,196,26,12,688.47
1/8/2018,5,google/cpc,9,0,0,0
1/8/2018,5,google/organic,10,8,5,269.4
1/8/2018,5,bing/cpc,65,13,9,376.49
1/8/2018,5,bing/organic,24,8,4,185.64
1/8/2018,5,facebook/display,192,24,11,662.52
1/8/2018,6,google/cpc,9,1,1,105.64
1/8/2018,6,google/organic,13,7,2,192.56
1/8/2018,6,bing/cpc,44,8,4,278.04
1/8/2018,6,bing/organic,21,6,3,104.39
1/8/2018,6,facebook/display,247,26,6,450.45
1/8/2018,7,google/cpc,9,3,0,0
1/8/2018,7,google/organic,15,9,4,391.17
1/8/2018,7,bing/cpc,44,6,1,80.09
1/8/2018,7,bing/organic,24,6,1,55.39
1/8/2018,7,facebook/display,144,11,3,257.04
1/8/2018,8,google/cpc,9,2,2,112.61
1/8/2018,8,google/organic,17,9,5,616.13
1/8/2018,8,bing/cpc,61,7,4,135.75
1/8/2018,8,bing/organic,24,9,3,197.5
1/8/2018,8,facebook/display,189,14,4,374.8
1/9/2018,1,google/cpc,14,4,2,119.18
1/9/2018,1,google/organic,21,7,7,395.34
1/9/2018,1,bing/cpc,50,14,10,296.69
1/9/2018,1,bing/organic,26,5,4,236.25
1/9/2018,1,facebook/display,234,22,9,518.16
1/9/2018,2,google/cpc,7,2,2,179.16
1/9/2018,2,google/organic,12,5,3,286.65
1/9/2018,2,bing/cpc,60,9,3,163.63
1/9/2018,2,bing/organic,28,8,2,106.62
1/9/2018,2,facebook/display,253,24,5,501.64
1/9/2018,3,google/cpc,9,2,2,187.53
1/9/2018,3,google/organic,21,9,5,384.1
1/9/2018,3,bing/cpc,46,11,4,275.39
1/9/2018,3,bing/organic,19,4,2,91.63
1/9/2018,3,facebook/display,150,13,4,212.16
1/9/2018,4,google/cpc,11,4,4,245.47
1/9/2018,4,google/organic,20,8,6,529.9
1/9/2018,4,bing/cpc,33,4,1,63.05
1/9/2018,4,bing/organic,25,3,1,49.85
1/9/2018,4,facebook/display,209,25,10,748.39
1/9/2018,5,google/cpc,10,5,4,240.99
1/9/2018,5,google/organic,14,6,3,243.48
1/9/2018,5,bing/cpc,49,9,4,189.05
1/9/2018,5,bing/organic,24,12,7,299.45
1/9/2018,5,facebook/display,175,9,3,154.56
1/9/2018,6,google/cpc,13,4,3,268.07
1/9/2018,6,google/organic,14,7,5,303.29
1/9/2018,6,bing/cpc,50,10,5,328.38
1/9/2018,6,bing/organic,24,3,1,57.75
1/9/2018,6,facebook/display,158,13,0,0
1/9/2018,7,google/cpc,9,1,1,99.34
1/9/2018,7,google/organic,9,4,1,99.79
1/9/2018,7,bing/cpc,29,3,1,55.55
1/9/2018,7,bing/organic,28,8,6,407.18
1/9/2018,7,facebook/display,118,6,2,167.01
1/9/2018,8,google/cpc,10,2,0,0
1/9/2018,8,google/organic,11,4,3,237.64
1/9/2018,8,bing/cpc,46,11,5,332.46
1/9/2018,8,bing/organic,27,11,1,74.46
1/9/2018,8,facebook/display,224,13,3,256.87
1/10/2018,1,google/cpc,11,4,3,177.28
1/10/2018,1,google/organic,13,9,3,209.59
1/10/2018,1,bing/cpc,47,12,6,275.18
1/10/2018,1,bing/organic,24,7,4,158.47
1/10/2018,1,facebook/display,218,19,9,627.09
1/10/2018,2,google/cpc,9,2,1,110.04
1/10/2018,2,google/organic,17,5,3,357.91
1/10/2018,2,bing/cpc,51,9,4,335.16
1/10/2018,2,bing/organic,28,5,2,123.34
1/10/2018,2,facebook/display,194,19,6,469.71
1/10/2018,3,google/cpc,9,1,0,0
1/10/2018,3,google/organic,17,7,3,290.8
1/10/2018,3,bing/cpc,63,13,5,365.71
1/10/2018,3,bing/organic,29,7,3,159.11
1/10/2018,3,facebook/display,197,19,10,783.55
1/10/2018,4,google/cpc,13,4,4,238.01
1/10/2018,4,google/organic,11,6,5,325.75
1/10/2018,4,bing/cpc,54,14,10,534.84
1/10/2018,4,bing/organic,26,7,2,95.29
1/10/2018,4,facebook/display,210,21,11,558.3
1/10/2018,5,google/cpc,6,2,1,53.58
1/10/2018,5,google/organic,16,11,9,681.09
1/10/2018,5,bing/cpc,66,16,14,682.2
1/10/2018,5,bing/organic,30,9,5,208.87
1/10/2018,5,facebook/display,100,13,4,208.5
1/10/2018,6,google/cpc,9,3,1,50.06
1/10/2018,6,google/organic,16,3,1,78.31
1/10/2018,6,bing/cpc,34,3,2,121.47
1/10/2018,6,bing/organic,16,4,1,71.01
1/10/2018,6,facebook/display,144,11,1,68.65
1/10/2018,7,google/cpc,13,2,0,0
1/10/2018,7,google/organic,14,6,0,0
1/10/2018,7,bing/cpc,71,17,10,706.7
1/10/2018,7,bing/organic,21,6,2,114.65
1/10/2018,7,facebook/display,212,26,7,673.19
1/10/2018,8,google/cpc,8,1,0,0
1/10/2018,8,google/organic,13,7,4,330.53
1/10/2018,8,bing/cpc,46,5,1,70.18
1/10/2018,8,bing/organic,19,8,2,108.07
1/10/2018,8,facebook/display,233,16,3,279.79
1/11/2018,1,google/cpc,9,4,2,116.44
1/11/2018,1,google/organic,13,7,5,304.68
1/11/2018,1,bing/cpc,44,6,2,88.67
1/11/2018,1,bing/organic,26,5,2,72.97
1/11/2018,1,facebook/display,213,30,11,674.55
1/11/2018,2,google/cpc,9,5,3,350.32
1/11/2018,2,google/organic,16,3,2,211.43
1/11/2018,2,bing/cpc,33,2,1,57.56
1/11/2018,2,bing/organic,34,12,4,226.15
1/11/2018,2,facebook/display,238,20,7,567.79
1/11/2018,3,google/cpc,10,3,1,52.26
1/11/2018,3,google/organic,16,6,4,528.18
1/11/2018,3,bing/cpc,62,14,7,372.56
1/11/2018,3,bing/organic,20,2,1,52.21
1/11/2018,3,facebook/display,176,12,4,279.5
1/11/2018,4,google/cpc,7,2,2,136.97
1/11/2018,4,google/organic,11,6,4,95.77
1/11/2018,4,bing/cpc,64,10,5,153.81
1/11/2018,4,bing/organic,25,5,1,29.01
1/11/2018,4,facebook/display,233,24,12,387.34
1/11/2018,5,google/cpc,9,6,4,316.92
1/11/2018,5,google/organic,13,9,7,615.46
1/11/2018,5,bing/cpc,34,4,4,159.63
1/11/2018,5,bing/organic,28,12,3,163.28
1/11/2018,5,facebook/display,175,18,7,394.97
1/11/2018,6,google/cpc,8,1,0,0
1/11/2018,6,google/organic,17,4,1,67.8
1/11/2018,6,bing/cpc,54,7,2,134.59
1/11/2018,6,bing/organic,28,8,3,226.91
1/11/2018,6,facebook/display,137,12,2,157.29
1/11/2018,7,google/cpc,9,3,1,96.21
1/11/2018,7,google/organic,18,11,5,439.25
1/11/2018,7,bing/cpc,40,7,4,254.96
1/11/2018,7,bing/organic,27,8,1,36.53
1/11/2018,7,facebook/display,266,27,5,396.1
1/11/2018,8,google/cpc,8,0,0,0
1/11/2018,8,google/organic,16,8,4,495.5
1/11/2018,8,bing/cpc,52,5,3,211.39
1/11/2018,8,bing/organic,28,5,2,133.72
1/11/2018,8,facebook/display,216,18,6,533.2
1/12/2018,1,google/cpc,8,2,1,84.85
1/12/2018,1,google/organic,11,5,2,107.38
1/12/2018,1,bing/cpc,49,12,9,455.75
1/12/2018,1,bing/organic,26,9,2,111.98
1/12/2018,1,facebook/display,226,24,6,283.47
1/12/2018,2,google/cpc,11,3,2,160.05
1/12/2018,2,google/organic,21,5,3,349.58
1/12/2018,2,bing/cpc,59,15,10,445.07
1/12/2018,2,bing/organic,34,9,3,195.08
1/12/2018,2,facebook/display,215,24,6,544.24
1/12/2018,3,google/cpc,10,1,0,0
1/12/2018,3,google/organic,14,6,2,192.1
1/12/2018,3,bing/cpc,39,6,5,307.82
1/12/2018,3,bing/organic,22,8,3,170.83
1/12/2018,3,facebook/display,195,16,5,510.86
1/12/2018,4,google/cpc,10,3,3,138.75
1/12/2018,4,google/organic,13,5,2,100.48
1/12/2018,4,bing/cpc,54,8,2,79.4
1/12/2018,4,bing/organic,19,6,1,40.75
1/12/2018,4,facebook/display,196,16,5,296.2
1/12/2018,5,google/cpc,9,3,2,121.32
1/12/2018,5,google/organic,21,11,8,382.78
1/12/2018,5,bing/cpc,46,14,8,421.8
1/12/2018,5,bing/organic,19,7,1,38.17
1/12/2018,5,facebook/display,218,20,6,332.8
1/12/2018,6,google/cpc,5,2,1,67.83
1/12/2018,6,google/organic,13,4,2,296.73
1/12/2018,6,bing/cpc,44,9,5,174.92
1/12/2018,6,bing/organic,23,7,0,0
1/12/2018,6,facebook/display,233,21,8,679.01
1/12/2018,7,google/cpc,9,3,2,176.8
1/12/2018,7,google/organic,10,4,4,382.18
1/12/2018,7,bing/cpc,52,8,6,424.9
1/12/2018,7,bing/organic,31,6,2,140.15
1/12/2018,7,facebook/display,171,17,4,282.51
1/12/2018,8,google/cpc,8,1,1,99.89
1/12/2018,8,google/organic,16,7,3,440.11
1/12/2018,8,bing/cpc,36,6,2,143.6
1/12/2018,8,bing/organic,38,12,3,193.93
1/12/2018,8,facebook/display,157,10,5,513.85
1/13/2018,1,google/cpc,1,1,1,65.85
1/13/2018,1,google/organic,2,1,1,74.12
1/13/2018,1,bing/cpc,10,0,0,0
1/13/2018,1,bing/organic,6,1,1,38.33
1/13/2018,1,facebook/display,52,6,0,0
1/13/2018,2,google/cpc,1,0,0,0
1/13/2018,2,google/organic,3,3,0,0
1/13/2018,2,bing/cpc,10,2,1,78.82
1/13/2018,2,bing/organic,7,1,0,0
1/13/2018,2,facebook/display,37,3,0,0
1/13/2018,3,google/cpc,1,0,0,0
1/13/2018,3,google/organic,2,1,0,0
1/13/2018,3,bing/cpc,13,3,1,61.08
1/13/2018,3,bing/organic,3,1,0,0
1/13/2018,3,facebook/display,46,1,0,0
1/13/2018,4,google/cpc,1,1,1,44.43
1/13/2018,4,google/organic,2,1,0,0
1/13/2018,4,bing/cpc,9,1,1,52.43
1/13/2018,4,bing/organic,5,2,1,44.77
1/13/2018,4,facebook/display,35,3,3,118.73
1/13/2018,5,google/cpc,1,0,0,0
1/13/2018,5,google/organic,3,2,1,62.62
1/13/2018,5,bing/cpc,11,3,2,99.36
1/13/2018,5,bing/organic,6,2,1,52.48
1/13/2018,5,facebook/display,50,6,2,82.65
1/13/2018,6,google/cpc,1,0,0,0
1/13/2018,6,google/organic,2,1,1,79.08
1/13/2018,6,bing/cpc,11,0,0,0
1/13/2018,6,bing/organic,7,4,2,117.55
1/13/2018,6,facebook/display,47,2,1,88.73
1/13/2018,7,google/cpc,1,0,0,0
1/13/2018,7,google/organic,3,1,1,132.83
1/13/2018,7,bing/cpc,11,5,3,194.72
1/13/2018,7,bing/organic,5,2,0,0
1/13/2018,7,facebook/display,57,5,2,154.82
1/13/2018,8,google/cpc,2,1,1,95.2
1/13/2018,8,google/organic,2,1,1,128.83
1/13/2018,8,bing/cpc,11,2,1,83.94
1/13/2018,8,bing/organic,7,2,0,0
1/13/2018,8,facebook/display,59,8,3,286.77
1/14/2018,1,google/cpc,1,1,0,0
1/14/2018,1,google/organic,3,0,0,0
1/14/2018,1,bing/cpc,13,1,1,58.84
1/14/2018,1,bing/organic,6,1,1,51.96
1/14/2018,1,facebook/display,45,3,0,0
1/14/2018,2,google/cpc,2,0,0,0
1/14/2018,2,google/organic,2,1,0,0
1/14/2018,2,bing/cpc,9,1,0,0
1/14/2018,2,bing/organic,4,2,1,42.31
1/14/2018,2,facebook/display,55,4,2,120.76
1/14/2018,3,google/cpc,1,0,0,0
1/14/2018,3,google/organic,2,1,0,0
1/14/2018,3,bing/cpc,8,2,1,72.03
1/14/2018,3,bing/organic,4,0,0,0
1/14/2018,3,facebook/display,43,2,1,102.82
1/14/2018,4,google/cpc,1,0,0,0
1/14/2018,4,google/organic,2,1,0,0
1/14/2018,4,bing/cpc,8,0,0,0
1/14/2018,4,bing/organic,3,0,0,0
1/14/2018,4,facebook/display,51,4,3,123.74
1/14/2018,5,google/cpc,2,0,0,0
1/14/2018,5,google/organic,3,0,0,0
1/14/2018,5,bing/cpc,13,3,2,91.3
1/14/2018,5,bing/organic,5,2,0,0
1/14/2018,5,facebook/display,43,1,0,0
1/14/2018,6,google/cpc,1,0,0,0
1/14/2018,6,google/organic,2,2,1,100.11
1/14/2018,6,bing/cpc,11,0,0,0
1/14/2018,6,bing/organic,7,1,0,0
1/14/2018,6,facebook/display,35,1,1,61.09
1/14/2018,7,google/cpc,1,0,0,0
1/14/2018,7,google/organic,3,1,0,0
1/14/2018,7,bing/cpc,14,2,1,74.38
1/14/2018,7,bing/organic,6,2,0,0
1/14/2018,7,facebook/display,55,4,1,101.6
1/14/2018,8,google/cpc,1,0,0,0
1/14/2018,8,google/organic,1,1,1,106.49
1/14/2018,8,bing/cpc,8,2,0,0
1/14/2018,8,bing/organic,5,1,1,64.35
1/14/2018,8,facebook/display,43,2,2,171.33
1/15/2018,1,google/cpc,9,3,3,163.51
1/15/2018,1,google/organic,12,6,4,306.04
1/15/2018,1,bing/cpc,61,19,11,421.48
1/15/2018,1,bing/organic,26,10,4,241.52
1/15/2018,1,facebook/display,181,16,7,357.01
1/15/2018,2,google/cpc,9,1,1,134.22
